group,case,lb-dfs,t-dfs,lb-maxknap,t-maxkanap,lb-fb,t-fb
21,26,98,15,98,0,98,15
21,27,95,0,94,0,94,0
21,28,92,0,92,0,92,0
21,29,94,0,93,0,93,0
21,30,95,0,95,0,95,0
21,31,98,0,98,0,98,0
21,32,88,0,88,0,88,0
21,33,94,0,94,0,94,0
21,34,93,0,93,0,93,0
21,35,92,0,91,0,91,0
21,36,92,0,92,0,92,0
21,37,95,0,95,0,95,0
21,38,89,0,89,0,89,0
21,39,93,0,93,0,93,0
21,40,94,0,94,0,94,0
